"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 6 9 "GO:0000002" "mitochondrial genome maintenance" 1
0 1 1 8 "GO:0000003" "reproduction" 1
0 1 2 5 "GO:0000012" "single strand break repair" 1
0 0.799828734587203 3 42 "GO:0000018" "regulation of DNA recombination" 1
0 1 7 14 "GO:0000027" "ribosomal large subunit assembly" 1
0 0.234579685360634 2 7 "GO:0000028" "ribosomal small subunit assembly" 0.957806324110672
0 1 2 12 "GO:0000038" "very long-chain fatty acid metabolic process" 1
0 1 2 29 "GO:0000041" "transition metal ion transport" 1
0 1 2 37 "GO:0000045;GO:1905037" "autophagosome organization" 1
0 0.204768041947583 7 6 "GO:0000054;GO:0033750;GO:0071428;GO:0071426" "ribosomal subunit export from nucleus" 0.915348837209302
0 0.0422618524194403 4 9 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.622177419354839
0 0.834836362108898 3 47 "GO:0000077;GO:0031570" "DNA integrity checkpoint" 1
0 0.198420608156391 2 22 "GO:0000079;GO:1904029" "regulation of cyclin-dependent protein kinase activity" 1
0 1 4 29 "GO:0000082;GO:0044843" "G1/S transition of mitotic cell cycle" 1
0 1 3 6 "GO:0000083" "regulation of transcription involved in G1/S transition of mitotic cell cycle" 1
0 0.144464921956595 4 18 "GO:0000086;GO:0044839" "G2/M transition of mitotic cell cycle" 0.8810546875
0 0.643997675047546 2 27 "GO:0000096" "sulfur amino acid metabolic process" 1
0 0.497439135759986 2 18 "GO:0000097" "sulfur amino acid biosynthetic process" 1
0 1 3 5 "GO:0000098" "sulfur amino acid catabolic process" 1
0 0.892853001828819 6 240 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 1
0 1 7 47 "GO:0000132;GO:0040001;GO:0051294;GO:0051293;GO:0051653" "establishment of spindle localization" 1
0 0.118855383507503 3 16 "GO:0000154;GO:0031167" "rRNA modification" 0.850877192982456
0 1 5 48 "GO:0000165" "MAPK cascade" 1
0 1 3 19 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1
0 0.927017531858353 2 151 "GO:0000209" "protein polyubiquitination" 1
0 0.204768041947583 6 6 "GO:0000212" "meiotic spindle organization" 0.915348837209302
0 0.203301009212417 4 197 "GO:0000226" "microtubule cytoskeleton organization" 1
0 1 8 6 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 1
0 0.31750071915951 7 10 "GO:0000245" "spliceosomal complex assembly" 1
0 1 2 7 "GO:0000272" "polysaccharide catabolic process" 1
0 0.575045874677793 2 51 "GO:0000278" "mitotic cell cycle" 1
0 0.706119466613724 2 32 "GO:0000281" "mitotic cytokinesis" 1
0 1 3 7 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 1
0 1 3 12 "GO:0000291;GO:0034427" "nuclear-transcribed mRNA catabolic process, exonucleolytic" 1
0 1 6 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 1
0 0.241732715850925 2 67 "GO:0000302" "response to reactive oxygen species" 0.983042635658915
0 1 2 5 "GO:0000338" "protein deneddylation" 1
0 1 2 8 "GO:0000380" "alternative mRNA splicing, via spliceosome" 1
0 1 8 33 "GO:0000381" "regulation of alternative mRNA splicing, via spliceosome" 1
0 0.568812019089961 4 22 "GO:0000387" "spliceosomal snRNP assembly" 1
0 0.511417410010008 3 99 "GO:0000398;GO:0000377;GO:0000375" "mRNA splicing, via spliceosome" 1
0 0.131514949179787 2 17 "GO:0000413" "protein peptidyl-prolyl isomerization" 0.866735537190083
0 0.630085760545395 6 26 "GO:0000422;GO:0061726" "mitochondrion disassembly" 1
0 1 2 9 "GO:0000423" "mitophagy" 1
0 1 3 7 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 4 6 "GO:0000460" "maturation of 5.8S rRNA" 1
0 0.477829457215353 6 17 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 2 6 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 9 6 "GO:0000467;GO:0000459;GO:0031125;GO:0043633;GO:0071035;GO:0071046;GO:0043634;GO:0071029;GO:0071038;GO:0016078" "rRNA 3'-end processing" 1
0 0.568812019089961 3 22 "GO:0000469" "cleavage involved in rRNA processing" 1
0 1 5 11 "GO:0000470" "maturation of LSU-rRNA" 1
0 0.367748147437615 2 12 "GO:0000479;GO:0000478" "endonucleolytic cleavage of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 1 4 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 1
0 0.290905409964393 2 9 "GO:0000578" "embryonic axis specification" 0.994883720930233
0 0.173800446975996 3 5 "GO:0000712" "resolution of meiotic recombination intermediates" 0.86046511627907
0 1 3 11 "GO:0000722;GO:0006312" "mitotic recombination" 1
0 0.257204684147812 4 47 "GO:0000724;GO:0000725" "recombinational repair" 1
0 1 3 5 "GO:0000729" "DNA double-strand break processing" 1
0 0.343102647937432 6 11 "GO:0000731" "DNA synthesis involved in DNA repair" 1
0 1 2 10 "GO:0000737;GO:0006308" "DNA catabolic process" 1
0 0.931925117258867 2 70 "GO:0000902" "cell morphogenesis" 1
0 1 4 48 "GO:0000904" "cell morphogenesis involved in differentiation" 1
0 0.82163173423809 2 45 "GO:0000910;GO:0061640" "cytokinesis" 1
0 1 2 47 "GO:0000956" "nuclear-transcribed mRNA catabolic process" 1
0 1 2 14 "GO:0000959" "mitochondrial RNA metabolic process" 1
0 1 5 6 "GO:0000963;GO:0140053" "mitochondrial gene expression" 1
0 0.207124796311296 2 42 "GO:0001501" "skeletal system development" 0.916013824884793
0 1 3 9 "GO:0001502;GO:0098743" "cartilage condensation" 1
0 0.350190343565112 2 56 "GO:0001503" "ossification" 1
0 1 2 75 "GO:0001505" "regulation of neurotransmitter levels" 1
0 0.324440701849451 2 31 "GO:0001508" "action potential" 1
0 0.791986766379168 2 41 "GO:0001510" "RNA methylation" 1
